character,archetype,gender,Arle,Bur,Cap,Cas,Cat,Cavi,Cinz,Clau,Fabr,Flam,Flav,Flavia,Fran,Graz,Gril,Hibr,Inn,Isa,Lau,Lid,Oliv,Oraz,Pant,Pasq,Pedr,Pio,Ric,Silv,Tof,Vit
Olivetta,SERVI,FEMALE,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.08333333333333333,0.125,0.041666666666666664,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
Orazio,INNAMORATI,MALE,0.07385524372230429,0.03840472673559823,0.060561299852289516,0.0014771048744460858,0.0014771048744460858,0.0,0.023633677991137372,0.0029542097488921715,0.005908419497784343,0.11669128508124077,0.09601181683899557,0.0014771048744460858,0.07533234859675036,0.06942392909896603,0.0014771048744460858,0.0014771048744460858,0.0,0.13146233382570163,0.005908419497784343,0.0014771048744460858,0.0029542097488921715,0.0014771048744460858,0.10930576070901034,0.005908419497784343,0.15805022156573117,0.0014771048744460858,0.005908419497784343,0.0014771048744460858,0.0014771048744460858,0.0014771048744460858
Pantalone,VECCHI,MALE,0.08444444444444445,0.05185185185185185,0.0725925925925926,0.0014814814814814814,0.0014814814814814814,0.0014814814814814814,0.01037037037037037,0.008888888888888889,0.007407407407407408,0.09037037037037036,0.08148148148148149,0.0014814814814814814,0.07703703703703704,0.10666666666666667,0.0014814814814814814,0.0014814814814814814,0.0,0.09185185185185185,0.005925925925925926,0.0014814814814814814,0.0044444444444444444,0.10962962962962963,0.0,0.005925925925925926,0.17037037037037037,0.0014814814814814814,0.0044444444444444444,0.0014814814814814814,0.0014814814814814814,0.0014814814814814814
Pasquella,SERVI,FEMALE,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.10256410256410256,0.0,0.02564102564102564,0.10256410256410256,0.0,0.02564102564102564,0.0,0.1282051282051282,0.0,0.0,0.02564102564102564,0.10256410256410256,0.10256410256410256,0.0,0.15384615384615385,0.0,0.0,0.0,0.02564102564102564,0.0
Pedrolino,SERVI,MALE,0.0867630700778643,0.041156840934371525,0.08008898776418243,0.0011123470522803114,0.0011123470522803114,0.0,0.014460511679644048,0.004449388209121246,0.004449388209121246,0.10011123470522804,0.09566184649610679,0.0011123470522803114,0.0878754171301446,0.09010011123470522,0.0011123470522803114,0.0011123470522803114,0.0,0.11234705228031146,0.0033370411568409346,0.0011123470522803114,0.004449388209121246,0.11902113459399333,0.12791991101223582,0.006674082313681869,0.0033370411568409346,0.0011123470522803114,0.0033370411568409346,0.0011123470522803114,0.0011123470522803114,0.0011123470522803114
Piombino,SERVI,MALE,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111
Ricciolina,SERVI,FEMALE,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.0,0.0,0.0,0.02857142857142857,0.02857142857142857,0.0,0.14285714285714285,0.08571428571428572,0.0,0.05714285714285714,0.11428571428571428,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.11428571428571428,0.08571428571428572,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0
Silvia,INNAMORATI,FEMALE,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
Tofano,VECCHI,MALE,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
Vittoria,CAPITANI,FEMALE,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
